,MAJOR 2 HYBRID ELIMINATION STAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage 2 - Hybrid Elimination Bracket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Round 1,,,,,,Round 2,,,,,,Quarterfinals,,,,,,Semifinals,,,,,,Grand Finals,,,,,,Major 2 Final Standings,
,,,Best of 7,,,,,,Best of 7,,,,,,Best of 7,,,,,,Best of 7,,,,,,Best of 7,,,,,,Final Standings,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Match
Pending",,A,Group A First,#N/A,0,Day 4 2A,,,,,,,,,,,,,,,,,,,,1,First Place
,,,,,,,,,,Group D First,#N/A,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Second Place
,,,,,,,"Match
Pending",,B,Group B First,#N/A,0,Day 4 2A,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Group C First,#N/A,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4,Third/Fourth Place
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Third/Fourth Place
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Match
Pending",,,C,Group B Second,#N/A,0,Day 3 4A,,,,,,,,,,,,,,K,Winner of B,Winner of B,0,Day 5 4A,,,,,,,,5/6,Fifth/Sixth Place
,,,,Group D Third,#N/A,0,,,,,,,,,I,Loser of A,Loser of A,0,Day 5 2A,,,Winner of I,Winner of I,0,,,,,,,,,,Fifth/Sixth Place
,,,,,,,,,G,Winner of C,Winner of C,0,Day 4 5A,,,Winner of G,Winner of G,0,,,,,,,,,,,,,,,,
,,,,,,,,,,Winner of D,Winner of D,0,,,,,,,,,,,,,,,,,,,,,7/8,Seventh/Eighth Place
"Match
Pending",,,D,Group C Second,#N/A,0,Day 3 4A,,,,,,,,,,,,,,,,,,,,M,Winner of K,Winner of K,0,Day 5 5A,,,Seventh/Eighth Place
,,,,Group A Third,#N/A,0,,,,,,,,,,,,,,,,,,,,,,Winner of L,Winner of L,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-12,Ninth-Twelfth Place
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ninth-Twelfth Place
"Match
Pending",,,E,Group A Second,#N/A,0,Day 3 2A,,,,,,,,,,,,,,L,Winner of A,Winner of A,0,Day 5 4A,,,,,,,,,Ninth-Twelfth Place
,,,,Group C Third,#N/A,0,,,,,,,,,J,Loser of B,Loser of B,0,Day 5 2A,,,Winner of J,Winner of J,0,,,,,,,,,,Ninth-Twelfth Place
,,,,,,,,,H,Winner of E,Winner of E,0,Day 4 5A,,,Winner of H,Winner of H,0,,,,,,,,,,,,,,,,
,,,,,,,,,,Winner of F,Winner of F,0,,,,,,,,,,,,,,,,,,,,,13-16,Thirteenth-Sixteenth Place
"Match
Pending",,,F,Group D Second,#N/A,0,Day 3 2A,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirteenth-Sixteenth Place
,,,,Group B Third,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirteenth-Sixteenth Place
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirteenth-Sixteenth Place
