Match Letter,Day/Stream,Date/Stage,B/O,Team 1,,,Team 2,B/O,Scheduled Start (CET),Target Start (CET),Act Start (CET),"Start Delta
(Act - Target)",Match Finish,Notes
D,Day 1 1A,Group B Round 1,13,Man City,0,0,MIBR,8,2:00 PM,2:00 PM,,-14:00:00,,
C,Day 1 1B,Group B Round 1,15,Five Fears,0,0,NRG,2,2:00 PM,2:00 PM,,-14:00:00,,
I,Day 1 2A,Group A Round 1,12,Wildcard,0,0,Team Vitality,5,3:00 PM,,,0:00:00,,
J,Day 1 2B,Group A Round 1,16,Karmine Corp,0,0,FUT Esports,1,3:00 PM,,,0:00:00,,
H,Day 1 3A,Group D Round 1,14,R8 Esports,0,0,Spacestation,3,4:00 PM,,,0:00:00,,
G,Day 1 3B,Group D Round 1,9,FURIA,0,0,Gentle Mates,6,4:00 PM,,,0:00:00,,
M,Day 1 4A,Group C Round 1,10,Twisted Minds,0,0,Rebellion,7,5:00 PM,,,0:00:00,,
N,Day 1 4B,Group C Round 1,11,NIP,0,0,TSM,4,5:00 PM,,,0:00:00,,
S,Day 1 5A,Group B Round 2,8,MIBR,0,0,NRG,2,6:00 PM,,,0:00:00,,
T,Day 1 5B,Group B Round 2,15,Five Fears,0,0,Man City,13,6:00 PM,,,0:00:00,,
Q,Day 1 6A,Group A Round 2,16,Karmine Corp,0,0,Team Vitality,5,7:00 PM,,,0:00:00,,
R,Day 1 6B,Group A Round 2,12,Wildcard,0,0,FUT Esports,1,7:00 PM,,,0:00:00,,
F,Day 2 1A,Group C Round 2,11,NIP,0,0,Rebellion,7,2:00 PM,,,0:00:00,,
E,Day 2 1B,Group C Round 2,10,Twisted Minds,0,0,TSM,4,2:00 PM,,,0:00:00,,
O,Day 2 2A,Group D Round 2,14,R8 Esports,0,0,Gentle Mates,6,3:00 PM,,,0:00:00,,
P,Day 2 2B,Group D Round 2,9,FURIA,0,0,Spacestation,3,3:00 PM,,,0:00:00,,
K,Day 2 3A,Group B Round 3,13,Man City,0,0,NRG,2,4:00 PM,,,0:00:00,,
L,Day 2 3B,Group B Round 3,15,Five Fears,0,0,MIBR,8,4:00 PM,,,0:00:00,,
B,Day 2 4A,Group A Round 3,16,Karmine Corp,0,0,Wildcard,12,5:00 PM,,,0:00:00,,
A,Day 2 4B,Group A Round 3,5,Team Vitality,0,0,FUT Esports,1,5:00 PM,,,0:00:00,,
U,Day 2 5A,Group C Round 3,11,NIP,0,0,Twisted Minds,10,6:00 PM,,,0:00:00,,
V,Day 2 5B,Group C Round 3,7,Rebellion,0,0,TSM,4,6:00 PM,,,0:00:00,,
W,Day 2 6A,Group D Round 3,6,Gentle Mates,0,0,Spacestation,3,7:00 PM,,,0:00:00,,
X,Day 2 6B,Group D Round 3,14,R8 Esports,0,0,FURIA,9,7:00 PM,,,0:00:00,,
F,Day 3 2A,Bracket Lower R1,0,-,0,0,-,0,,,,0:00:00,,
E,Day 3 2A,Bracket Lower R1,0,-,0,0,-,0,,,,0:00:00,,
C,Day 3 4A,Bracket Lower R1,0,-,0,0,-,0,,,,0:00:00,,
D,Day 3 4A,Bracket Lower R1,0,-,0,0,-,0,,,,0:00:00,,
A,Day 4 2A,Bracket Upper R1,0,-,0,0,-,0,,,,0:00:00,,
B,Day 4 2A,Bracket Upper R1,0,-,0,0,-,0,,,,0:00:00,,
SM,Day 4 3A,SHOWMATCH,0,,0,0,,0,,,,0:00:00,,
G,Day 4 5A,Bracket Lower R2,0,-,0,0,-,0,,,,0:00:00,,
H,Day 4 5A,Bracket Lower R2,0,-,0,0,-,0,,,,0:00:00,,
I,Day 5 2A,Bracket Quarterfinal,0,-,0,0,-,0,,,,0:00:00,,
J,Day 5 2A,Bracket Quarterfinal,0,-,0,0,-,0,,,,0:00:00,,
K,Day 5 4A,Bracket Semifinal,0,-,0,0,-,0,,,,0:00:00,,
L,Day 5 4A,Bracket Semifinal,0,-,0,0,-,0,,,,0:00:00,,
M,Day 5 5A,Bracket Grand Final,0,-,0,0,-,0,,,,0:00:00,,
