,WORLD CHAMPIONSHIP GROUP STAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stage 2 - Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FALSE,Group A Not Complete,,,GROUP A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Place,Team,Record,G. Rec,Diff,Seed,,Round 1,,,,,,Round 2,,,,,,Round 3,,,,,,Team Results,br,KC,MIBR,SSG,#N/A,,M Win,M Loss,G Win,G Loss,Diff,M Left
,,,A1,Karmine Corp,0-0,0-0,0,EU1,,A,#N/A,#N/A,0,Day 2 1A,,I,Karmine Corp,20,0,Day 2 1A,,Q,Karmine Corp,20,0,Day 3 1A,,Karmine Corp,20,,,,,,0,0,0,0,0,3
,,,A2,Made In Brazil,0-0,0-0,0,SAM1,,,#N/A,#N/A,0,,,,Spacestation Gaming,1,0,,,,Made In Brazil,9,0,,,Made In Brazil,9,,,,,,0,0,0,0,0,3
,,,A3,Spacestation Gaming,0-0,0-0,0,NA3,,B,Made In Brazil,9,0,Day 2 1B,,J,#N/A,#N/A,0,Day 2 1B,,R,#N/A,#N/A,0,Day 3 1B,,Spacestation Gaming,1,,,,,,0,0,0,0,0,3
,,,A4,GSL Play-In Fourth,0-0,0-0,0,#N/A,,,Spacestation Gaming,1,0,,,,#N/A,#N/A,0,,,,#N/A,#N/A,0,,,GSL Play-In Fourth,#N/A,,,,,,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FALSE,Group B Not Complete,,,GROUP B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Place,Team,Record,G. Rec,Diff,Seed,,Round 1,,,,,,Round 2,,,,,,Round 3,,,,,,Team Results,br,TWIS,NIP,MCFC,#N/A,,M Win,M Loss,G Win,G Loss,Diff,M Left
