,WORLD CHAMPIONSHIP GSL PLAY-IN STAGE,,,,,,,,,,,,,,,,,,,,,
,Stage 1 - GSL System,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,GROUP A,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,Upper Quarterfinals,,,,,,Upper Semifinals,,,,,,Upper Final,,,,,,GSL Play-In Stage,
,,,Best of 5,,,,,,Best of 5,,,,,,Best of 5,,,,,,Final Standings,
,,,,,,,,,,,,,,,,,,,,,,
,,,AA,Bigodes,8,0,Day 1 1A,,,,,,,,,,,,,,1,First Place
,,,,Virtus.pro,3,0,,,,,,,,,,,,,,,,
,,,,,,,,,AE,Winner of AA,Winner of AA,0,Day 1 3A,,,,,,,,,
,,,,,,,,,,Winner of AB,Winner of AB,0,,,,,,,,,2,Second Place
,,,AB,Five Fears,19,0,Day 1 1B,,,,,,,,,,,,,,,
,,,,Mate y Tapa,7,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,AG,Winner of AE,Winner of AE,0,7,,3,Third Place
,,,,,,,,,,,,,,,,Winner of AF,Winner of AF,0,,,,
,,,AC,Team Falcons,15,0,Day 1 2A,,,,,,,,,,,,,,,
,,,,FUT Esports,5,0,,,,,,,,,,,,,,,4,Fourth Place
,,,,,,,,,AF,Winner of AC,Winner of AC,0,Day 1 4A,,,,,,,,,
,Match 2 needs both stream Match 1 to conclude before kickoff,,,,,,,,,Winner of AD,Winner of AD,0,,,,,,,,,,
,,,AD,R8 Esports,18,0,Day 1 2B,,,,,,,,,,,,,,5/6,Fifth/Sixth Place
,,,,TSM,6,0,,,,,,,,,,,,,,,,Fifth/Sixth Place
,,,,,,,,,,,,,,,,,,,,,,
,,,Lower Quarterfinals,,,,,,Lower Semifinals,,,,,,Lower Final,,,,,,7/8,Seventh/Eighth Place
,,,Best of 5,,,,,,Best of 5,,,,,,Best of 5,,,,,,,Seventh/Eighth Place
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,AK,Loser of AF,Loser of AF,0,Day 1 6A,,,,,,,,,
,,,AI,Loser of AA,Loser of AA,0,Day 1 3B,,,Winner of AI,Winner of AI,0,,,,,,,,,,
,,,,Loser of AB,Loser of AB,0,,,,,,,,,AM,Winner of AK,Winner of AK,0,7,,,
,,,,,,,,,,,,,,,,Winner of AL,Winner of AL,0,,,,
,,,,,,,,,AL,Loser of AE,Loser of AE,0,Day 1 5A,,,,,,,,,
,,,AJ,Loser of AD,Loser of AD,0,Day 1 4B,,,Winner of AJ,Winner of AJ,0,,,,,,,,,,
,,,,Loser of AC,Loser of AC,0,,,,,,,,,,,,,,,,
