Match Letter,Day/Stream,Stage,B/O,Team 1,,,Team 2,B/O,Scheduled Start (CT),Act Start (CT),,Match Letter,Day/Stream,Date/Stage,B/O,Team 1,,,Team 2,B/O,Scheduled Start (CT),Target Start (CT),Act Start (CT),"Start Delta
(Act - Target)",Match Finish,Notes
AA,Day 1 1A,Play-In Upper QF,8,Bigodes,0,0,Virtus.pro,3,,,,AA,Day 1 1A,Play-In Upper QF,8,Bigodes,0,0,Virtus.pro,3,11:00 AM,11:00 AM,,-11:00:00,,
AB,Day 1 1B,Play-In Upper QF,19,Five Fears,0,0,Mate y Tapa,7,,,,AB,Day 1 1B,Play-In Upper QF,19,Five Fears,0,0,Mate y Tapa,7,11:00 AM,11:00 AM,,-11:00:00,,
AC,Day 1 2A,Play-In Upper QF,15,Team Falcons,0,0,FUT Esports,5,,,,AC,Day 1 2A,Play-In Upper QF,15,Team Falcons,0,0,FUT Esports,5,12:00 PM,,,0:00:00,,
AD,Day 1 2B,Play-In Upper QF,18,R8 Esports,0,0,TSM,6,,,,AD,Day 1 2B,Play-In Upper QF,18,R8 Esports,0,0,TSM,6,1:00 PM,,,0:00:00,,
AE,Day 1 3A,Play-In Upper SF,0,TBD,0,0,TBD,0,,,,AE,Day 1 3A,Play-In Upper SF,0,TBD,0,0,TBD,0,2:00 PM,,,0:00:00,,
AF,Day 1 4A,Play-In Upper SF,0,TBD,0,0,TBD,0,,,,AI,Day 1 3B,Play-In Lower QF,0,TBD,0,0,TBD,0,2:00 PM,,,0:00:00,,
AI,Day 1 3B,Play-In Lower QF,0,TBD,0,0,TBD,0,,,,AF,Day 1 4A,Play-In Upper SF,0,TBD,0,0,TBD,0,3:00 PM,,,0:00:00,,
AJ,Day 1 4B,Play-In Lower QF,0,TBD,0,0,TBD,0,,,,AJ,Day 1 4B,Play-In Lower QF,0,TBD,0,0,TBD,0,3:00 PM,,,0:00:00,,
AK,Day 1 6A,Play-In Lower SF,0,TBD,0,0,TBD,0,,,,AL,Day 1 5A,Play-In Lower SF,0,TBD,0,0,TBD,0,4:00 PM,,,0:00:00,,
AL,Day 1 5A,Play-In Lower SF,0,TBD,0,0,TBD,0,,,,AK,Day 1 6A,Play-In Lower SF,0,TBD,0,0,TBD,0,5:00 PM,,,0:00:00,,
A,Day 2 1A,Group A R1,0,-,0,0,-,0,,,,A,Day 2 1A,Group A R1,0,-,0,0,-,0,11:00 AM,11:00 AM,,-11:00:00,,
B,Day 2 1B,Group A R1,9,Made In Brazil,0,0,Spacestation Gaming,1,,,,C,Day 2 1A,Group B R1,0,-,0,0,-,0,11:00 AM,11:00 AM,,-11:00:00,,
C,Day 2 1A,Group B R1,0,-,0,0,-,0,,,,E,Day 2 1A,Group C R1,0,-,0,0,-,0,12:00 PM,,,0:00:00,,
