,WORLD CHAMPIONSHIP 2V2 + 1V1,,,,,,,,,,,,,,,
,Single Elimination Brackets,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2v2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Semifinals,,,,,,Grand Final,,,,,,2v2 Bracket,
,,,Best of 7,,,,,,Best of 7,,,,,,Final Standings,
,,,,,,,,,,,,,,,,
,,,A,Team Falcons,4,0,Day 3 99A,,,,,,,,1,First Place
,,,,FURIA,3,0,,,,,,,,,,
,,,,Order to be locked after Groups generation - need to avoid players back-to-back if possible / avoid first and last of the day,,,,,C,Winner of A,Winner of A,0,Day 5 99A,,,
,,,,,,,,,,Winner of B,Winner of B,0,,,2,Second Place
,,,B,No Miss Just Fake,2,0,Day 3 99A,,,Consider adjusting 3v3 play order once match known - need to avoid players back-to-back if possible / avoid first and last of the day,,,,,,
,,,,Spacestation Gaming,1,0,,,,,,,,,,
,,,,,,,,,,,,,,,3/4,Third/Fourth Place
,,,,,,,,,,,,,,,,Third/Fourth Place
,,,,,,,,,,,,,,,,
,,1v1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Semifinals,,,,,,Grand Final,,,,,,1v1 Bracket,
,,,Best of 7,,,,,,Best of 7,,,,,,Final Standings,
,,,,,,,,,,,,,,,,
,,,A,kv1,4,0,Day 2 99A,,,,,,,,1,First Place
,,,,Nwpo,1,0,,,,,,,,,,
,,,,Order to be locked after Groups generation - need to avoid players back-to-back if possible / avoid first and last of the day,,,,,C,Winner of A,Winner of A,0,Day 4 99A,,,
,,,,,,,,,,Winner of B,Winner of B,0,,,2,Second Place
,,,B,Diaz,3,0,Day 2 99A,,,Consider adjusting 3v3 play order once match known - need to avoid players back-to-back if possible / avoid first and last of the day,,,,,,
,,,,Nass,2,0,,,,,,,,,,
,,,,,,,,,,,,,,,3/4,Third/Fourth Place
,,,,,,,,,,,,,,,,Third/Fourth Place
